[INFO ]10:13:09,862, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:09,884, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:11,863, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:11,885, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:13,864, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:13,886, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:15,866, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:15,888, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:17,867, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:17,889, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:19,868, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:19,890, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:21,869, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:21,891, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:23,870, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:23,892, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:25,871, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:25,892, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:27,872, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:27,893, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:29,873, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:29,896, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:31,874, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:13:31,898, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:14:32,681, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]10:15:12,719, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:12,730, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:14,721, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:14,732, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:16,722, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:16,733, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:18,724, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:18,740, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:20,725, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:20,741, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:22,726, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:22,742, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:24,727, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:24,743, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:26,728, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:26,744, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:28,729, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:28,745, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:30,730, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:30,746, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:32,731, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:32,748, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:34,733, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:34,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:36,733, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:36,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:38,733, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:38,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:40,733, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:40,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:42,733, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:42,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
